0,15,2,
5
00000000000000000001,605
00000000000000000100,186
00000000000000000110,547
Qiskit,Craig
26
00000000000000000101,358
00000000000000000010,453
00000000000000000111,4285
00000000000000000000,519
00000000000000000011,1516
00000000000000000001,399
00000000000000000100,265
00000000000000000110,397
Qiskit,Norm
30
00000000000000000101,1002
00000000000000000010,437
00000000000000000111,2955
00000000000000000000,248
00000000000000000011,1620
00000000000000000001,1385
00000000000000000100,188
00000000000000000110,357
15,19,6,
7
PreSwap,Craig
23
00000000000000000101,322
00000000000000000010,1097
00000000000000000111,3888
00000000000000000000,218
00000000000000000011,514
00000000000000000001,171
00000000000000000100,289
00000000000000000110,1693
PreSwap,Norm
30
00000000000000000101,1509
00000000000000000010,364
00000000000000000111,3380
00000000000000000000,270
00000000000000000011,821
00000000000000000001,1365
00000000000000000100,173
00000000000000000110,310
Qiskit,Craig
35
00000000000000000101,566
00000000000000000010,840
00000000000000000111,2970
00000000000000000000,409
00000000000000000011,506
00000000000000000001,249
00000000000000000100,928
00000000000000000110,1724
Qiskit,Norm
43
00000000000000000101,705
00000000000000000010,809
00000000000000000111,3516
00000000000000000000,368
00000000000000000011,1088
00000000000000000001,956
00000000000000000100,181
00000000000000000110,569
5,3,11,
6
PreSwap,Craig
20
00000000000000000101,360
00000000000000000010,1162
00000000000000000111,4045
00000000000000000000,296
00000000000000000011,372
00000000000000000001,162
00000000000000000100,376
00000000000000000110,1419
PreSwap,Norm
24
00000000000000000101,354
00000000000000000010,680
00000000000000000111,3636
00000000000000000000,251
00000000000000000011,1533
00000000000000000001,1181
00000000000000000100,109
00000000000000000110,448
Qiskit,Craig
35
00000000000000000101,686
00000000000000000010,974
00000000000000000111,2983
00000000000000000000,356
00000000000000000011,869
00000000000000000001,355
00000000000000000100,613
00000000000000000110,1356
Qiskit,Norm
37
00000000000000000101,617
00000000000000000010,468
00000000000000000111,4223
00000000000000000000,167
00000000000000000011,1223
00000000000000000001,898
00000000000000000100,135
00000000000000000110,461
14,5,15,
7
PreSwap,Craig
23
00000000000000000101,333
00000000000000000010,1253
00000000000000000111,3705
00000000000000000000,438
00000000000000000011,1401
00000000000000000001,364
00000000000000000100,301
00000000000000000110,397
PreSwap,Norm
27
00000000000000000101,1301
00000000000000000010,914
00000000000000000111,3610
00000000000000000000,438
00000000000000000011,643
00000000000000000001,541
00000000000000000100,301
00000000000000000110,444
Qiskit,Craig
38
00000000000000000101,774
00000000000000000010,456
00000000000000000111,2869
00000000000000000000,404
00000000000000000011,489
00000000000000000001,588
00000000000000000100,1265
00000000000000000110,1347
Qiskit,Norm
27
00000000000000000101,509
00000000000000000010,939
00000000000000000111,3558
00000000000000000000,306
00000000000000000011,1406
00000000000000000001,1028
00000000000000000100,126
00000000000000000110,320
12,10,9,
5
PreSwap,Craig
17
00000000000000000101,241
00000000000000000010,531
00000000000000000111,5429
00000000000000000000,135
00000000000000000011,544
00000000000000000001,153
00000000000000000100,184
00000000000000000110,975
PreSwap,Norm
24
00000000000000000101,572
00000000000000000010,490
00000000000000000111,4810
00000000000000000000,184
00000000000000000011,1000
00000000000000000001,661
00000000000000000100,106
00000000000000000110,369
Qiskit,Craig
26
00000000000000000101,740
00000000000000000010,611
00000000000000000111,2382
00000000000000000000,583
00000000000000000011,606
00000000000000000001,589
00000000000000000100,790
00000000000000000110,1891
Qiskit,Norm
24
00000000000000000101,606
00000000000000000010,388
00000000000000000111,4108
00000000000000000000,144
00000000000000000011,1788
00000000000000000001,595
00000000000000000100,131
00000000000000000110,432
7,15,5,
4
PreSwap,Craig
14
00000000000000000101,448
00000000000000000010,368
00000000000000000111,4311
00000000000000000000,357
00000000000000000011,1260
00000000000000000001,714
00000000000000000100,334
00000000000000000110,400
PreSwap,Norm
15
00000000000000000101,475
00000000000000000010,605
00000000000000000111,3948
00000000000000000000,184
00000000000000000011,1298
00000000000000000001,734
00000000000000000100,134
00000000000000000110,814
Qiskit,Craig
20
00000000000000000101,776
00000000000000000010,367
00000000000000000111,3852
00000000000000000000,367
00000000000000000011,1218
00000000000000000001,838
00000000000000000100,342
00000000000000000110,432
Qiskit,Norm
18
00000000000000000101,543
00000000000000000010,230
00000000000000000111,4762
00000000000000000000,116
00000000000000000011,1068
00000000000000000001,942
00000000000000000100,103
00000000000000000110,428
12,16,11,
4
PreSwap,Craig
14
00000000000000000101,472
00000000000000000010,193
00000000000000000111,4607
00000000000000000000,159
00000000000000000011,1411
00000000000000000001,921
00000000000000000100,169
00000000000000000110,260
PreSwap,Norm
15
00000000000000000101,481
00000000000000000010,223
00000000000000000111,4762
00000000000000000000,88
00000000000000000011,1416
00000000000000000001,900
00000000000000000100,55
00000000000000000110,267
Qiskit,Craig
17
00000000000000000101,1518
00000000000000000010,189
00000000000000000111,4221
00000000000000000000,181
00000000000000000011,596
00000000000000000001,663
00000000000000000100,404
00000000000000000110,420
Qiskit,Norm
21
00000000000000000101,839
00000000000000000010,233
00000000000000000111,4197
00000000000000000000,88
00000000000000000011,1562
00000000000000000001,910
00000000000000000100,83
00000000000000000110,280
7,5,6,
2
PreSwap,Craig
8
00000000000000000101,485
00000000000000000010,209
00000000000000000111,5835
00000000000000000000,110
00000000000000000011,439
00000000000000000001,417
00000000000000000100,230
00000000000000000110,467
PreSwap,Norm
9
00000000000000000101,676
00000000000000000010,288
00000000000000000111,5562
00000000000000000000,54
00000000000000000011,671
00000000000000000001,390
00000000000000000100,102
00000000000000000110,449
Qiskit,Craig
8
00000000000000000101,456
00000000000000000010,244
00000000000000000111,5776
00000000000000000000,139
